source_category,target_category,source_files_importing_target_category
tools/dev,tools/paths,21
core/config,core/kernel,17
core/processes,desktop/application,11
core/processes,desktop/models,11
core/publish,desktop/application,11
core/sample_validation,desktop/application,11
desktop/contracts,core/kernel,10
core/config,desktop/application,9
core/config,desktop/models,9
tools/change_control,tools/paths,9
core/api,core/queue,8
core/audit,desktop/models,8
core/queue,desktop/models,8
core/completed,desktop/models,7
core/config,contracts/config,7
core/decide,contracts/source_media,7
desktop/application,core/processes,7
desktop/application,desktop/models,7
core/api,core/config,6
core/api,desktop/api,6
core/maintenance,desktop/application,6
desktop/application,core/config,6
desktop/application,core/kernel,6
pipeline/ass_to_srt_cli,pipeline/ass_to_srt,6
core/diagnostics,core/kernel,5
core/orchestration,core/config,5
core/processes,core/config,5
core/rename,desktop/application,5
core/schedule,desktop/application,5
core/status,desktop/models,5
desktop/application,core/maintenance,5
desktop/application,desktop/config_keys,5
desktop/network,desktop/config_keys,5
core/api,desktop/application,4
core/audit,desktop/application,4
core/completed,desktop/application,4
core/diagnostics,core/status,4
core/failures,desktop/application,4
core/failures,desktop/models,4
core/maintenance,desktop/models,4
core/processes,desktop/contracts,4
core/queue,core/observability,4
core/rename,core/files,4
core/rename,desktop/subprocess_runner,4
core/status,core/rename,4
core/telemetry,desktop/models,4
desktop/network,desktop/root,4
core/audit,desktop/subprocess_runner,3
core/config,core/rename,3
core/diagnostics,desktop/application,3
core/diagnostics,desktop/models,3
core/final_library,desktop/models,3
core/library,core/config,3
core/maintenance,desktop/subprocess_runner,3
core/metrics,core/completed,3
core/metrics,desktop/models,3
core/orchestration,core/decide,3
core/paths,core/kernel,3
core/publish,desktop/models,3
core/queue,desktop/application,3
contracts/config,core/rename,2
core/api,core/kernel,2
core/api,core/orchestration,2
core/completed,core/observability,2
core/completed,desktop/subprocess_runner,2
core/config,contracts/height_tolerance,2
core/config,contracts/verification,2
core/config,desktop/subprocess_runner,2
core/decide,contracts/verification,2
core/network,desktop/network,2
core/observability,desktop/models,2
core/orchestration,contracts/source_media,2
core/paths,core/storage,2
core/paths,desktop/models,2
core/processes,core/kernel,2
core/queue,core/config,2
core/queue,desktop/priority_markers,2
core/rename,core/kernel,2
core/rename,core/paths,2
core/sample_validation,desktop/models,2
core/status,core/observability,2
core/status,desktop/contracts,2
desktop/api,core/api,2
desktop/api,tools/paths,2
desktop/application,core/completed,2
desktop/application,core/diagnostics,2
desktop/application,core/publish,2
desktop/application,core/queue,2
desktop/local_api_main,core/config,2
desktop/local_api_main,desktop/api,2
desktop/network,desktop/models,2
desktop/services,core/config,2
desktop/services,core/failures,2
desktop/services,core/files,2
desktop/services,core/maintenance,2
desktop/services,core/processes,2
desktop/services,core/rename,2
tools/dev,core/diagnostics,2
contracts/api_commands,contracts/source_media,1
contracts/config,contracts/config_coercion,1
contracts/config,contracts/config_defaults,1
contracts/config,contracts/config_schema_extras,1
contracts/config,contracts/config_validators,1
contracts/config,contracts/height_tolerance,1
contracts/config_defaults,core/rename,1
contracts/config_validators,contracts/height_tolerance,1
contracts/decision_policy,contracts/height_tolerance,1
contracts/decision_policy,contracts/verification,1
contracts/pipeline_plan,contracts/verification,1
contracts/source_media,contracts/source_media_adapters,1
contracts/source_media,contracts/source_media_models,1
contracts/source_media_adapters,contracts/source_media_derived,1
contracts/source_media_adapters,contracts/source_media_models,1
contracts/source_media_adapters,contracts/source_media_streams,1
contracts/source_media_adapters,contracts/source_media_values,1
contracts/source_media_derived,contracts/source_media_models,1
contracts/source_media_derived,contracts/source_media_values,1
contracts/source_media_streams,contracts/source_media_models,1
contracts/source_media_streams,contracts/source_media_values,1
contracts/source_media_values,contracts/source_media_models,1
contracts/stage_decide,contracts/height_tolerance,1
contracts/stage_decide,contracts/stage_base,1
contracts/stage_mutation,contracts/stage_base,1
contracts/stage_mutation,contracts/stage_decide,1
contracts/stage_probe,contracts/stage_base,1
contracts/stages,contracts/stage_base,1
contracts/stages,contracts/stage_decide,1
contracts/stages,contracts/stage_mutation,1
contracts/stages,contracts/stage_probe,1
core/api,contracts/config,1
core/api,contracts/source_media,1
core/api,contracts/stages,1
core/api,core/rename,1
core/api,core/ui_preferences,1
core/application,desktop/models,1
core/audit,core/failures,1
core/audit,desktop/models_core,1
core/completed,core/files,1
core/completed,core/kernel,1
core/completed,core/subtitles,1
core/config,contracts/decision_policy,1
core/config,core/processes,1
core/config,desktop/models_core,1
core/config,tools/paths,1
core/decide,contracts/decision_policy,1
core/decide,contracts/height_tolerance,1
core/diagnostics,core/config,1
core/diagnostics,core/processes,1
core/diagnostics,desktop/subprocess_runner,1
core/failures,core/paths,1
core/final_library,core/completed,1
core/final_library,core/config,1
core/final_library,core/files,1
