source_category,target_category,source_files_importing_target_category
app/processes,desktop/application,11
app/processes,desktop/models,11
app/sample_validation,desktop/application,11
desktop/contracts,app/kernel,10
app/config,desktop/application,9
app/config,desktop/models,9
app/audit,desktop/models,8
app/decide,app/contracts,8
app/publish,desktop/application,8
app/queue,desktop/models,8
app/completed,desktop/models,7
app/config,app/contracts,7
app/config,desktop/config_keys,7
desktop/application,app/processes,7
desktop/application,desktop/models,7
app/maintenance,desktop/application,6
desktop/application,app/config,6
desktop/application,app/kernel,6
app/api,desktop/api,5
app/orchestration,app/config,5
app/processes,app/config,5
app/rename,desktop/application,5
app/schedule,desktop/application,5
app/status,desktop/models,5
desktop/application,app/maintenance,5
desktop/network,desktop/config_keys,5
app/api,desktop/application,4
app/audit,desktop/application,4
app/completed,desktop/application,4
app/diagnostics,app/status,4
app/failures,desktop/application,4
app/failures,desktop/models,4
app/maintenance,desktop/models,4
app/orchestration,app/contracts,4
app/processes,desktop/contracts,4
app/queue,app/observability,4
app/rename,app/files,4
app/rename,desktop/subprocess_runner,4
app/telemetry,desktop/models,4
desktop/application,desktop/config_keys,4
desktop/network,desktop/root,4
app/api,app/config,3
app/api,app/contracts,3
app/api,app/queue,3
app/audit,desktop/subprocess_runner,3
app/diagnostics,desktop/application,3
app/diagnostics,desktop/models,3
app/final_library,desktop/models,3
app/maintenance,desktop/subprocess_runner,3
app/orchestration,app/decide,3
app/publish,desktop/models,3
app/queue,desktop/application,3
app/completed,app/observability,2
app/completed,desktop/subprocess_runner,2
app/config,app/kernel,2
app/config,desktop/subprocess_runner,2
app/network,desktop/network,2
app/observability,desktop/models,2
app/paths,app/storage,2
app/paths,desktop/config_keys,2
app/paths,desktop/models,2
app/queue,app/config,2
app/queue,desktop/priority_markers,2
app/rename,app/paths,2
app/sample_validation,desktop/models,2
app/status,app/observability,2
app/status,app/rename,2
app/status,desktop/contracts,2
app/validation,app/contracts,2
desktop/api,app/api,2
desktop/application,app/completed,2
desktop/application,app/publish,2
desktop/local_api_main,app/config,2
desktop/local_api_main,desktop/api,2
desktop/network,desktop/models,2
desktop/services,app/config,2
desktop/services,app/failures,2
desktop/services,app/files,2
desktop/services,app/maintenance,2
desktop/services,app/processes,2
desktop/services,app/rename,2
app/api,app/orchestration,1
app/api,app/rename,1
app/api,app/ui_preferences,1
app/api,desktop/config_keys,1
app/application,desktop/models,1
app/audit,app/failures,1
app/audit,desktop/models_core,1
app/completed,app/storage,1
app/completed,desktop/config_keys,1
app/config,app/processes,1
app/config,desktop/models_core,1
app/diagnostics,app/config,1
app/diagnostics,app/processes,1
app/failures,app/paths,1
app/final_library,app/completed,1
app/final_library,app/config,1
app/final_library,app/files,1
app/final_library,desktop/application,1
app/final_library,desktop/config_keys,1
app/folder_policy,app/files,1
app/folder_policy,desktop/subprocess_runner,1
app/network,desktop/application,1
app/network,desktop/models,1
app/observability,app/telemetry,1
app/orchestration,app/storage,1
app/orchestration,desktop/application,1
app/orchestration,desktop/models,1
app/paths,app/config,1
app/paths,app/kernel,1
app/processes,app/kernel,1
app/processes,desktop/config_keys,1
app/publish,app/completed,1
app/publish,desktop/contracts,1
app/queue,app/contracts,1
app/queue,app/files,1
app/queue,app/storage,1
app/queue,desktop/contracts,1
app/queue,desktop/models_core,1
app/queue,desktop/subprocess_runner,1
app/rename,desktop/config_keys,1
app/rename,desktop/models,1
app/status,app/processes,1
app/status,desktop/application,1
app/status,desktop/models_core,1
app/telemetry,desktop/subprocess_runner,1
app/ui,app/ui_preferences,1
desktop/__main__,desktop/local_api_main,1
desktop/api,app/config,1
desktop/api,app/publish,1
desktop/api,app/storage,1
desktop/api,app/validation,1
desktop/api,desktop/application,1
desktop/api,desktop/models,1
desktop/application,app/application,1
desktop/application,app/audit,1
desktop/application,app/diagnostics,1
desktop/application,app/failures,1
desktop/application,app/final_library,1
desktop/application,app/network,1
desktop/application,app/observability,1
desktop/application,app/orchestration,1
desktop/application,app/queue,1
desktop/application,app/rename,1
desktop/application,app/sample_validation,1
desktop/application,app/schedule,1
desktop/application,app/status,1
desktop/application,desktop/root,1
desktop/config_keys,app/kernel,1
desktop/local_api_main,desktop/application,1
desktop/local_api_main,desktop/backend_bootstrap,1
desktop/local_api_main,desktop/models,1
desktop/local_api_main,desktop/services,1
desktop/models,app/kernel,1
desktop/models_core,app/kernel,1
desktop/models_media_paths,app/kernel,1
desktop/services,app/audit,1
desktop/services,app/completed,1
desktop/services,app/contracts,1
desktop/services,app/final_library,1
desktop/services,app/folder_policy,1
desktop/services,app/paths,1
desktop/services,app/publish,1
desktop/services,app/queue,1
desktop/services,app/schedule,1
desktop/services,app/status,1
desktop/services,app/storage,1
desktop/services,app/telemetry,1
desktop/services,desktop/models,1
desktop/subprocess_runner,app/kernel,1
desktop/webview_settings_live_smoke,app/storage,1
desktop/webview_settings_live_smoke,desktop/api,1
desktop/webview_settings_live_smoke,desktop/application,1
desktop/webview_settings_live_smoke,desktop/config_keys,1
desktop/webview_settings_live_smoke,desktop/models,1
desktop/webview_settings_live_smoke,desktop/services,1
desktop/webview_settings_patch_smoke,desktop/api,1
desktop/webview_settings_patch_smoke,desktop/application,1
desktop/webview_settings_patch_smoke,desktop/config_keys,1
desktop/webview_settings_patch_smoke,desktop/models,1
desktop/webview_settings_patch_smoke,desktop/services,1
desktop/webview_settings_patch_smoke,desktop/webview_settings_live_smoke,1
