source_module,target_module,source_path,target_path
app.api.command_handlers,app.api.commands_audit,app/api/command_handlers.py,app/api/commands_audit.py
app.api.command_handlers,app.api.commands_failures,app/api/command_handlers.py,app/api/commands_failures.py
app.api.command_handlers,app.api.commands_file_overrides,app/api/command_handlers.py,app/api/commands_file_overrides.py
app.api.command_handlers,app.api.commands_files,app/api/command_handlers.py,app/api/commands_files.py
app.api.command_handlers,app.api.commands_final_library,app/api/command_handlers.py,app/api/commands_final_library.py
app.api.command_handlers,app.api.commands_maintenance,app/api/command_handlers.py,app/api/commands_maintenance.py
app.api.command_handlers,app.api.commands_process,app/api/command_handlers.py,app/api/commands_process.py
app.api.command_handlers,app.api.commands_queue_priority,app/api/command_handlers.py,app/api/commands_queue_priority.py
app.api.command_handlers,app.api.commands_queue_scan,app/api/command_handlers.py,app/api/commands_queue_scan.py
app.api.command_handlers,app.api.commands_queue_strategy,app/api/command_handlers.py,app/api/commands_queue_strategy.py
app.api.command_handlers,app.api.commands_rename,app/api/command_handlers.py,app/api/commands_rename.py
app.api.command_handlers,app.api.commands_sample_validation,app/api/command_handlers.py,app/api/commands_sample_validation.py
app.api.command_handlers,app.api.commands_schedule,app/api/command_handlers.py,app/api/commands_schedule.py
app.api.command_handlers,app.api.commands_settings,app/api/command_handlers.py,app/api/commands_settings.py
app.api.command_handlers,app.api.commands_ui_preferences,app/api/command_handlers.py,app/api/commands_ui_preferences.py
app.api.command_results,mediapipeline_desktop_app.application,app/api/command_results.py,DesktopApp/mediapipeline_desktop_app/application/__init__.py
app.api.commands_audit,app.api.command_results,app/api/commands_audit.py,app/api/command_results.py
app.api.commands_failures,app.api.command_results,app/api/commands_failures.py,app/api/command_results.py
app.api.commands_file_overrides,app.api.command_results,app/api/commands_file_overrides.py,app/api/command_results.py
app.api.commands_file_overrides,app.config.constants,app/api/commands_file_overrides.py,app/config/constants.py
app.api.commands_file_overrides,app.config.library_profiles,app/api/commands_file_overrides.py,app/config/library_profiles.py
app.api.commands_file_overrides,app.config.metadata_choices,app/api/commands_file_overrides.py,app/config/metadata_choices.py
app.api.commands_file_overrides,app.contracts.config,app/api/commands_file_overrides.py,app/contracts/config.py
app.api.commands_file_overrides,app.contracts.source_media,app/api/commands_file_overrides.py,app/contracts/source_media.py
app.api.commands_file_overrides,app.contracts.stages,app/api/commands_file_overrides.py,app/contracts/stages.py
app.api.commands_file_overrides,app.orchestration.runner,app/api/commands_file_overrides.py,app/orchestration/runner.py
app.api.commands_file_overrides,app.queue.file_overrides,app/api/commands_file_overrides.py,app/queue/file_overrides.py
app.api.commands_file_overrides,mediapipeline_desktop_app.api.queue_source_path_policy,app/api/commands_file_overrides.py,DesktopApp/mediapipeline_desktop_app/api/queue_source_path_policy.py
app.api.commands_file_overrides,mediapipeline_desktop_app.config_keys,app/api/commands_file_overrides.py,DesktopApp/mediapipeline_desktop_app/config_keys.py
