source_category,target_category,source_files_importing_target_category
tools/dev,tools/paths,44
core/config,core/kernel,35
core/processes,core/kernel,35
core/processes,core/paths,35
core/diagnostics,core/kernel,19
core/publish,core/kernel,17
desktop/network,core/network,15
core/network,core/kernel,14
core/maintenance,core/kernel,13
core/processes,core/network,13
core/diagnostics,core/status,12
core/completed,core/kernel,11
core/rename,core/kernel,11
core/repair_reconcile,core/kernel,11
core/api,core/queue,10
core/completed,core/observability,10
core/config,core/paths,10
core/library,core/config,10
core/queue,core/paths,10
desktop/application,core/processes,10
desktop/application,core/sample_validation,10
desktop/contracts,core/kernel,10
tools/change_control,tools/paths,10
core/processes,core/config,9
desktop/application,desktop/network,9
core/audit,core/paths,8
core/config,contracts/config,8
core/processes,core/final_library,8
core/sample_validation,core/paths,8
core/status,core/paths,8
desktop/application,core/config,8
desktop/application,core/kernel,8
core/api,core/config,7
core/api,core/kernel,7
core/audit,core/kernel,7
core/decide,contracts/source_media,7
core/failures,core/kernel,7
core/orchestration,core/config,7
core/rename,core/files,7
desktop/application,core/maintenance,7
core/api,core/processes,6
core/metrics,core/completed,6
core/network,core/config,6
core/network,core/paths,6
core/network,core/processes,6
core/queue,core/kernel,6
pipeline/ass_to_srt_cli,pipeline/ass_to_srt,6
core/completed,core/files,5
core/completed,core/paths,5
core/completed,core/subtitles,5
core/failures,core/paths,5
core/processes,core/audit,5
core/sample_validation,core/kernel,5
desktop/network,core/config,5
desktop/network,desktop/config_keys,5
tools/dev,core/diagnostics,5
core/api,core/rename,4
core/audit,core/failures,4
core/config,core/rename,4
core/final_library,core/completed,4
core/maintenance,core/paths,4
core/processes,core/status,4
core/queue,core/observability,4
core/rename,core/paths,4
core/schedule,core/kernel,4
core/status,core/kernel,4
core/status,core/rename,4
desktop/network,core/kernel,4
desktop/network,core/processes,4
desktop/network,desktop/root,4
contracts/config,core/rename,3
contracts/config_fields,core/rename,3
core/config,core/validation,3
core/diagnostics,core/paths,3
core/final_library,core/paths,3
core/library,core/kernel,3
core/orchestration,core/decide,3
core/paths,core/kernel,3
core/processes,core/queue,3
core/processes,core/rerun,3
core/publish,core/paths,3
core/repair_reconcile,core/completed,3
core/subtitles,pipeline/ass_to_srt,3
desktop/api,core/api,3
desktop/api,core/processes,3
desktop/application,core/network,3
desktop/services,core/maintenance,3
core/api,core/orchestration,2
core/application,core/status,2
core/audit,core/completed,2
core/config,contracts/height_tolerance,2
core/config,contracts/verification,2
core/decide,contracts/verification,2
core/final_library,core/kernel,2
core/library,core/queue,2
core/metrics,core/kernel,2
core/metrics,core/paths,2
core/orchestration,contracts/source_media,2
core/paths,core/storage,2
core/processes,core/schedule,2
core/publish,core/files,2
core/queue,core/config,2
core/repair_reconcile,core/publish,2
core/status,contracts/run_monitor,2
core/status,core/observability,2
core/status,core/processes,2
core/subtitles,core/paths,2
core/telemetry,core/kernel,2
desktop/api,core/rename,2
desktop/api,core/status,2
desktop/api,core/validation,2
desktop/api,tools/paths,2
desktop/application,core/completed,2
desktop/application,core/diagnostics,2
desktop/application,core/publish,2
desktop/application,core/queue,2
desktop/application,core/schedule,2
desktop/local_api_main,core/config,2
desktop/local_api_main,core/processes,2
desktop/local_api_main,desktop/api,2
desktop/network,desktop/models,2
desktop/services,core/audit,2
desktop/services,core/queue,2
contracts/api_commands,contracts/source_media,1
contracts/api_routes,contracts/api_routes_command,1
contracts/api_routes,contracts/api_routes_read,1
contracts/api_routes,contracts/api_routes_shared,1
contracts/api_routes_command,contracts/api_routes_command_file,1
contracts/api_routes_command,contracts/api_routes_command_network,1
contracts/api_routes_command,contracts/api_routes_command_operations,1
contracts/api_routes_command,contracts/api_routes_command_process,1
contracts/api_routes_command,contracts/api_routes_command_settings_ui,1
contracts/api_routes_command_operations,contracts/api_commands,1
contracts/api_routes_read,contracts/api_routes_shared,1
contracts/config,contracts/config_coercion,1
contracts/config,contracts/config_defaults,1
contracts/config,contracts/config_fields,1
contracts/config,contracts/config_schema_extras,1
contracts/config,contracts/config_validators,1
contracts/config,contracts/height_tolerance,1
contracts/config,core/validation,1
contracts/config_coercion,core/validation,1
contracts/config_defaults,core/rename,1
contracts/config_fields,contracts/config_coercion,1
contracts/config_fields,contracts/config_defaults,1
contracts/config_fields,contracts/config_schema_extras,1
contracts/config_fields,contracts/config_validators,1
contracts/config_fields,contracts/height_tolerance,1
contracts/config_fields,core/validation,1
contracts/config_validators,contracts/height_tolerance,1
contracts/decision_policy,contracts/height_tolerance,1
contracts/decision_policy,contracts/verification,1
contracts/pipeline_plan,contracts/verification,1
contracts/source_media,contracts/source_media_adapters,1
contracts/source_media,contracts/source_media_models,1
contracts/source_media_adapters,contracts/source_media_derived,1
contracts/source_media_adapters,contracts/source_media_models,1
contracts/source_media_adapters,contracts/source_media_streams,1
contracts/source_media_adapters,contracts/source_media_values,1
contracts/source_media_derived,contracts/source_media_models,1
contracts/source_media_derived,contracts/source_media_values,1
contracts/source_media_streams,contracts/source_media_models,1
contracts/source_media_streams,contracts/source_media_values,1
contracts/source_media_values,contracts/source_media_models,1
contracts/stage_decide,contracts/height_tolerance,1
contracts/stage_decide,contracts/stage_base,1
contracts/stage_mutation,contracts/stage_base,1
contracts/stage_mutation,contracts/stage_decide,1
contracts/stage_probe,contracts/stage_base,1
contracts/stages,contracts/stage_base,1
contracts/stages,contracts/stage_decide,1
contracts/stages,contracts/stage_mutation,1
contracts/stages,contracts/stage_probe,1
core/api,contracts/config,1
core/api,contracts/source_media,1
core/api,contracts/stages,1
core/api,core/files,1
core/api,core/repair_reconcile,1
core/api,core/ui_preferences,1
core/audit,core/files,1
core/audit,core/processes,1
core/completed,core/publish,1
core/config,contracts/config_coercion,1
core/config,contracts/config_defaults,1
core/config,contracts/decision_policy,1
core/config,core/network,1
core/config,core/processes,1
core/config,tools/paths,1
core/decide,contracts/decision_policy,1
core/decide,contracts/height_tolerance,1
core/diagnostics,core/config,1
core/diagnostics,core/processes,1
core/final_library,core/config,1
core/final_library,core/files,1
core/folder_policy,core/files,1
core/folder_policy,core/kernel,1
core/library,core/paths,1
core/maintenance,core/diagnostics,1
core/maintenance,core/network,1
core/maintenance,core/storage,1
core/maintenance,tools/change_control,1
core/observability,core/paths,1
core/observability,core/telemetry,1
core/orchestration,contracts/pipeline_plan,1
core/orchestration,contracts/stages,1
core/orchestration,core/paths,1
core/orchestration,core/rename,1
core/orchestration,core/storage,1
core/orchestration,core/subtitles,1
core/orchestration,tools/paths,1
core/processes,core/completed,1
core/processes,core/files,1
core/publish,core/completed,1
core/queue,contracts/config,1
core/queue,core/files,1
core/queue,core/storage,1
core/queue,core/subtitles,1
core/rename,contracts/stage_mutation,1
core/rename,core/queue,1
core/rename,core/validation,1
core/repair_reconcile,core/storage,1
core/rerun,core/paths,1
core/sample_validation,core/config,1
core/schedule,core/paths,1
core/status,core/storage,1
core/status,core/telemetry,1
core/subtitles,contracts/stage_mutation,1
core/subtitles,contracts/subtitles,1
core/subtitles,core/completed,1
core/telemetry,contracts/api_routes,1
core/telemetry,contracts/config,1
core/telemetry,core/config,1
core/telemetry,core/paths,1
core/telemetry,core/storage,1
core/ui,core/ui_preferences,1
core/validation,contracts/api_commands,1
core/validation,contracts/stages,1
desktop/__main__,desktop/local_api_main,1
desktop/api,contracts/api_commands,1
desktop/api,contracts/api_routes,1
desktop/api,core/failures,1
desktop/api,core/maintenance,1
desktop/api,core/metrics,1
desktop/api,core/network,1
desktop/api,core/publish,1
desktop/api,core/storage,1
desktop/api,desktop/application,1
desktop/api,desktop/models,1
desktop/api,desktop/watch,1
desktop/application,core/application,1
desktop/application,core/audit,1
desktop/application,core/failures,1
desktop/application,core/final_library,1
desktop/application,core/library,1
desktop/application,core/metrics,1
desktop/application,core/observability,1
desktop/application,core/orchestration,1
desktop/application,core/paths,1
desktop/application,core/rename,1
desktop/application,core/repair_reconcile,1
desktop/application,core/status,1
desktop/application,core/subtitles,1
desktop/application,desktop/root,1
desktop/application,desktop/watch,1
desktop/config_keys,core/kernel,1
desktop/local_api_main,core/api,1
desktop/local_api_main,desktop/application,1
desktop/local_api_main,desktop/backend_bootstrap,1
desktop/local_api_main,desktop/backend_instance,1
desktop/local_api_main,desktop/models,1
desktop/local_api_main,desktop/services,1
desktop/local_api_main,tools/paths,1
desktop/models,core/audit,1
desktop/models,core/completed,1
desktop/models,core/config,1
desktop/models,core/failures,1
desktop/models,core/kernel,1
desktop/models,core/paths,1
desktop/models,core/queue,1
desktop/models,core/status,1
desktop/models,core/telemetry,1
desktop/models_core,core/config,1
desktop/models_core,core/kernel,1
desktop/models_core,core/paths,1
desktop/models_core,core/status,1
desktop/models_core,core/telemetry,1
desktop/models_media_paths,core/kernel,1
desktop/priority_markers,core/queue,1
desktop/root,tools/paths,1
desktop/root,tools/release_identity,1
desktop/services,core/completed,1
desktop/services,core/config,1
desktop/services,core/diagnostics,1
desktop/services,core/failures,1
desktop/services,core/files,1
desktop/services,core/final_library,1
desktop/services,core/folder_policy,1
desktop/services,core/paths,1
desktop/services,core/processes,1
desktop/services,core/publish,1
desktop/services,core/rename,1
desktop/services,core/schedule,1
desktop/services,core/status,1
desktop/services,core/storage,1
desktop/services,core/telemetry,1
desktop/services,desktop/models,1
desktop/services,tools/paths,1
desktop/subprocess_runner,core/kernel,1
desktop/watch,core/processes,1
desktop/webview_settings_live_smoke,core/storage,1
desktop/webview_settings_live_smoke,desktop/api,1
desktop/webview_settings_live_smoke,desktop/application,1
desktop/webview_settings_live_smoke,desktop/config_keys,1
desktop/webview_settings_live_smoke,desktop/models,1
desktop/webview_settings_live_smoke,desktop/services,1
desktop/webview_settings_live_smoke,tools/paths,1
desktop/webview_settings_patch_smoke,core/config,1
desktop/webview_settings_patch_smoke,desktop/api,1
desktop/webview_settings_patch_smoke,desktop/application,1
desktop/webview_settings_patch_smoke,desktop/config_keys,1
desktop/webview_settings_patch_smoke,desktop/models,1
desktop/webview_settings_patch_smoke,desktop/services,1
desktop/webview_settings_patch_smoke,desktop/webview_settings_live_smoke,1
desktop/webview_settings_patch_smoke,tools/paths,1
tools/autonomy_growth_snapshot,core/diagnostics,1
tools/autonomy_growth_snapshot,tools/autonomy_health_gate,1
tools/autonomy_health_gate,core/diagnostics,1
tools/autonomy_health_gate,core/paths,1
tools/autonomy_health_gate,core/processes,1
tools/autonomy_health_gate,core/publish,1
tools/autonomy_soak_tick,core/diagnostics,1
tools/autonomy_soak_tick,core/processes,1
tools/autonomy_soak_tick,core/publish,1
tools/autonomy_soak_tick,tools/autonomy_health_gate,1
tools/change_control,tools/release_identity,1
tools/dev,contracts/config,1
tools/dev,contracts/lifecycle,1
tools/dev,contracts/run_monitor,1
tools/dev,contracts/source_media_streams,1
tools/dev,contracts/stages,1
tools/dev,core/observability,1
tools/dev,core/rename,1
tools/dev,desktop/api,1
tools/lint_naming,tools/paths,1
tools/release_identity,tools/paths,1
