source_module,target_module,source_path,target_path
mediapipeline.contracts.api_commands,mediapipeline.contracts.source_media,src/mediapipeline/contracts/api_commands.py,src/mediapipeline/contracts/source_media.py
mediapipeline.contracts.api_routes,mediapipeline.contracts.api_routes_command,src/mediapipeline/contracts/api_routes.py,src/mediapipeline/contracts/api_routes_command.py
mediapipeline.contracts.api_routes,mediapipeline.contracts.api_routes_read,src/mediapipeline/contracts/api_routes.py,src/mediapipeline/contracts/api_routes_read.py
mediapipeline.contracts.api_routes,mediapipeline.contracts.api_routes_shared,src/mediapipeline/contracts/api_routes.py,src/mediapipeline/contracts/api_routes_shared.py
mediapipeline.contracts.api_routes_command,mediapipeline.contracts.api_routes_command_file,src/mediapipeline/contracts/api_routes_command.py,src/mediapipeline/contracts/api_routes_command_file.py
mediapipeline.contracts.api_routes_command,mediapipeline.contracts.api_routes_command_network,src/mediapipeline/contracts/api_routes_command.py,src/mediapipeline/contracts/api_routes_command_network.py
mediapipeline.contracts.api_routes_command,mediapipeline.contracts.api_routes_command_operations,src/mediapipeline/contracts/api_routes_command.py,src/mediapipeline/contracts/api_routes_command_operations.py
mediapipeline.contracts.api_routes_command,mediapipeline.contracts.api_routes_command_process,src/mediapipeline/contracts/api_routes_command.py,src/mediapipeline/contracts/api_routes_command_process.py
mediapipeline.contracts.api_routes_command,mediapipeline.contracts.api_routes_command_settings_ui,src/mediapipeline/contracts/api_routes_command.py,src/mediapipeline/contracts/api_routes_command_settings_ui.py
mediapipeline.contracts.api_routes_command_operations,mediapipeline.contracts.api_commands,src/mediapipeline/contracts/api_routes_command_operations.py,src/mediapipeline/contracts/api_commands.py
mediapipeline.contracts.api_routes_read,mediapipeline.contracts.api_routes_shared,src/mediapipeline/contracts/api_routes_read.py,src/mediapipeline/contracts/api_routes_shared.py
mediapipeline.contracts.config,mediapipeline.contracts.config_coercion,src/mediapipeline/contracts/config.py,src/mediapipeline/contracts/config_coercion.py
mediapipeline.contracts.config,mediapipeline.contracts.config_defaults,src/mediapipeline/contracts/config.py,src/mediapipeline/contracts/config_defaults.py
mediapipeline.contracts.config,mediapipeline.contracts.config_fields,src/mediapipeline/contracts/config.py,src/mediapipeline/contracts/config_fields.py
mediapipeline.contracts.config,mediapipeline.contracts.config_schema_extras,src/mediapipeline/contracts/config.py,src/mediapipeline/contracts/config_schema_extras.py
mediapipeline.contracts.config,mediapipeline.contracts.config_validators,src/mediapipeline/contracts/config.py,src/mediapipeline/contracts/config_validators.py
mediapipeline.contracts.config,mediapipeline.contracts.height_tolerance,src/mediapipeline/contracts/config.py,src/mediapipeline/contracts/height_tolerance.py
mediapipeline.contracts.config,mediapipeline.core.rename.constants,src/mediapipeline/contracts/config.py,src/mediapipeline/core/rename/constants.py
mediapipeline.contracts.config,mediapipeline.core.rename.movie,src/mediapipeline/contracts/config.py,src/mediapipeline/core/rename/movie.py
mediapipeline.contracts.config,mediapipeline.core.rename.tv,src/mediapipeline/contracts/config.py,src/mediapipeline/core/rename/tv.py
mediapipeline.contracts.config,mediapipeline.core.validation.strict_json,src/mediapipeline/contracts/config.py,src/mediapipeline/core/validation/strict_json.py
mediapipeline.contracts.config_coercion,mediapipeline.core.validation.strict_json,src/mediapipeline/contracts/config_coercion.py,src/mediapipeline/core/validation/strict_json.py
mediapipeline.contracts.config_defaults,mediapipeline.core.rename.constants,src/mediapipeline/contracts/config_defaults.py,src/mediapipeline/core/rename/constants.py
mediapipeline.contracts.config_fields,mediapipeline.contracts.config_coercion,src/mediapipeline/contracts/config_fields.py,src/mediapipeline/contracts/config_coercion.py
mediapipeline.contracts.config_fields,mediapipeline.contracts.config_defaults,src/mediapipeline/contracts/config_fields.py,src/mediapipeline/contracts/config_defaults.py
mediapipeline.contracts.config_fields,mediapipeline.contracts.config_schema_extras,src/mediapipeline/contracts/config_fields.py,src/mediapipeline/contracts/config_schema_extras.py
mediapipeline.contracts.config_fields,mediapipeline.contracts.config_validators,src/mediapipeline/contracts/config_fields.py,src/mediapipeline/contracts/config_validators.py
mediapipeline.contracts.config_fields,mediapipeline.contracts.height_tolerance,src/mediapipeline/contracts/config_fields.py,src/mediapipeline/contracts/height_tolerance.py
mediapipeline.contracts.config_fields,mediapipeline.core.rename.constants,src/mediapipeline/contracts/config_fields.py,src/mediapipeline/core/rename/constants.py
mediapipeline.contracts.config_fields,mediapipeline.core.rename.movie,src/mediapipeline/contracts/config_fields.py,src/mediapipeline/core/rename/movie.py
mediapipeline.contracts.config_fields,mediapipeline.core.rename.tv,src/mediapipeline/contracts/config_fields.py,src/mediapipeline/core/rename/tv.py
mediapipeline.contracts.config_fields,mediapipeline.core.validation.strict_json,src/mediapipeline/contracts/config_fields.py,src/mediapipeline/core/validation/strict_json.py
mediapipeline.contracts.config_validators,mediapipeline.contracts.height_tolerance,src/mediapipeline/contracts/config_validators.py,src/mediapipeline/contracts/height_tolerance.py
mediapipeline.contracts.decision_policy,mediapipeline.contracts.height_tolerance,src/mediapipeline/contracts/decision_policy.py,src/mediapipeline/contracts/height_tolerance.py
mediapipeline.contracts.decision_policy,mediapipeline.contracts.verification,src/mediapipeline/contracts/decision_policy.py,src/mediapipeline/contracts/verification.py
mediapipeline.contracts.pipeline_plan,mediapipeline.contracts.verification,src/mediapipeline/contracts/pipeline_plan.py,src/mediapipeline/contracts/verification.py
mediapipeline.contracts.source_media,mediapipeline.contracts.source_media_adapters,src/mediapipeline/contracts/source_media.py,src/mediapipeline/contracts/source_media_adapters.py
mediapipeline.contracts.source_media,mediapipeline.contracts.source_media_models,src/mediapipeline/contracts/source_media.py,src/mediapipeline/contracts/source_media_models.py
mediapipeline.contracts.source_media_adapters,mediapipeline.contracts.source_media_derived,src/mediapipeline/contracts/source_media_adapters.py,src/mediapipeline/contracts/source_media_derived.py
mediapipeline.contracts.source_media_adapters,mediapipeline.contracts.source_media_models,src/mediapipeline/contracts/source_media_adapters.py,src/mediapipeline/contracts/source_media_models.py
mediapipeline.contracts.source_media_adapters,mediapipeline.contracts.source_media_streams,src/mediapipeline/contracts/source_media_adapters.py,src/mediapipeline/contracts/source_media_streams.py
mediapipeline.contracts.source_media_adapters,mediapipeline.contracts.source_media_values,src/mediapipeline/contracts/source_media_adapters.py,src/mediapipeline/contracts/source_media_values.py
mediapipeline.contracts.source_media_derived,mediapipeline.contracts.source_media_models,src/mediapipeline/contracts/source_media_derived.py,src/mediapipeline/contracts/source_media_models.py
mediapipeline.contracts.source_media_derived,mediapipeline.contracts.source_media_values,src/mediapipeline/contracts/source_media_derived.py,src/mediapipeline/contracts/source_media_values.py
mediapipeline.contracts.source_media_streams,mediapipeline.contracts.source_media_models,src/mediapipeline/contracts/source_media_streams.py,src/mediapipeline/contracts/source_media_models.py
mediapipeline.contracts.source_media_streams,mediapipeline.contracts.source_media_values,src/mediapipeline/contracts/source_media_streams.py,src/mediapipeline/contracts/source_media_values.py
mediapipeline.contracts.source_media_values,mediapipeline.contracts.source_media_models,src/mediapipeline/contracts/source_media_values.py,src/mediapipeline/contracts/source_media_models.py
mediapipeline.contracts.stage_decide,mediapipeline.contracts.height_tolerance,src/mediapipeline/contracts/stage_decide.py,src/mediapipeline/contracts/height_tolerance.py
mediapipeline.contracts.stage_decide,mediapipeline.contracts.stage_base,src/mediapipeline/contracts/stage_decide.py,src/mediapipeline/contracts/stage_base.py
mediapipeline.contracts.stage_mutation,mediapipeline.contracts.stage_base,src/mediapipeline/contracts/stage_mutation.py,src/mediapipeline/contracts/stage_base.py
