category,files,internal_module_edges,outgoing_domain_edges,incoming_domain_edges
core/config,68,117,70,64
core/processes,60,146,119,40
desktop/network,55,131,39,9
tools/dev,50,36,57,0
core/api,33,59,42,4
desktop/api,32,45,25,5
core/queue,30,45,26,22
core/rename,28,57,25,25
core/kernel,27,31,0,246
core/status,24,43,24,24
core/diagnostics,23,69,36,12
core/network,23,78,32,34
desktop/application,23,12,80,4
core/publish,21,31,23,9
core/maintenance,19,15,21,11
core/completed,16,45,37,22
core/failures,16,34,12,8
core/audit,15,26,23,9
core/sample_validation,13,28,14,10
tools/change_control,11,5,11,1
core/decide,10,22,11,3
desktop/contracts,10,0,10,0
core/final_library,9,8,11,10
core/paths,9,8,5,127
core/repair_reconcile,8,14,17,2
core/schedule,8,6,5,5
core/folder_policy,7,7,2,1
core/observability,7,1,2,18
core/telemetry,7,7,7,5
core/library,6,7,16,1
pipeline/ass_to_srt,6,5,0,9
core/storage,5,2,0,11
core/files,4,3,0,21
core/metrics,4,5,10,2
core/orchestration,4,1,19,3
core/shared,4,0,0,0
core/subtitles,4,2,8,8
core/validation,4,1,2,9
desktop/watch,3,3,1,2
core/application,2,0,2,1
core/rerun,2,0,1,3
core/ui,2,0,1,0
contracts/api_commands,1,0,1,3
contracts/api_routes,1,0,3,2
contracts/api_routes_command,1,0,5,1
contracts/api_routes_command_file,1,0,0,1
contracts/api_routes_command_network,1,0,0,1
contracts/api_routes_command_operations,1,0,1,1
contracts/api_routes_command_process,1,0,0,1
contracts/api_routes_command_settings_ui,1,0,0,1
contracts/api_routes_read,1,0,1,1
contracts/api_routes_shared,1,0,0,2
contracts/config,1,0,10,12
contracts/config_coercion,1,0,1,3
contracts/config_defaults,1,0,1,3
contracts/config_fields,1,0,9,1
contracts/config_schema_extras,1,0,0,2
contracts/config_validators,1,0,1,2
contracts/decision_policy,1,0,2,2
contracts/height_tolerance,1,0,0,8
contracts/lifecycle,1,0,0,1
contracts/pipeline_plan,1,0,1,1
contracts/root,1,0,0,0
contracts/run_monitor,1,0,0,3
contracts/runtime_evidence,1,0,0,0
contracts/source_media,1,0,2,11
contracts/source_media_adapters,1,0,4,1
contracts/source_media_derived,1,0,2,1
contracts/source_media_models,1,0,0,5
contracts/source_media_streams,1,0,2,2
contracts/source_media_values,1,0,1,3
contracts/stage_base,1,0,0,4
contracts/stage_decide,1,0,2,2
contracts/stage_mutation,1,0,2,3
contracts/stage_probe,1,0,1,1
contracts/stages,1,0,4,4
contracts/subtitles,1,0,0,1
contracts/verification,1,0,0,6
core/root,1,0,0,0
core/ui_preferences,1,0,0,2
desktop/__main__,1,0,1,0
desktop/backend_bootstrap,1,0,0,1
desktop/backend_instance,1,0,0,1
desktop/config_keys,1,0,1,7
desktop/local_api_main,1,0,13,1
desktop/models,1,0,9,7
desktop/models_core,1,0,5,0
desktop/models_media_paths,1,0,1,0
desktop/priority_markers,1,0,1,0
desktop/root,1,0,2,5
desktop/services,1,0,24,3
desktop/subprocess_runner,1,0,1,0
desktop/webview_settings_live_smoke,1,0,7,1
desktop/webview_settings_patch_smoke,1,0,8,0
pipeline/ass_to_srt_cli,1,0,6,0
pipeline/root,1,0,0,0
tools/autonomy_growth_snapshot,1,0,2,0
tools/autonomy_health_gate,1,0,4,2
tools/autonomy_soak_tick,1,0,4,0
tools/lint_naming,1,0,1,0
tools/paths,1,0,0,65
tools/release_identity,1,0,1,2
tools/root,1,0,0,0
